,id,text,dominant_topic
31,85,"Se faire enlever des condylomes c'est tellement une partie de plaisir  Certains hommes savent vraiment de quoi ils parlent.????""Poke @rosedeb_@Alexa2B74 @AudeVisine @mariedahaoui18 @cyberds001  ""#HPV #gardasil",0
32,86,"?????? Vacciner le monde avec Gavi"" #Gardasil""#LesGuignols",2
33,89,"RENSEIGNEZ-VS avant de mettre les ados en danger !!""@NicoleDelepine 2019Vaccin Gardasil =DANGER docteur.nicoledelepine.fr/?pÖ "" l'infection ‡ papillomavirus passe inaperÁue dans la grande maj des cas et que pire l'effet du #gardasil est paradoxal avec aggravation taux k chez vaccinÈes",0
34,94,"#Gardasil un tribunal ordonne a Merck de livrer sa base de donnÈes sur les effets indÈsirables""""Les 11 vaccins obligatoires pour les nourrissons Effets secondaires graves causÈs par les adjuvants Toujours injectÈs",4
35,95,Et puis surtout ne parlons pas du scandale du #Gardasil  aux US qui sont juste en procËs et des #pfizerfiles .....,2
36,96,"CAMPAGNE DE VACCINATION !"" Refusons ces thÈrapies gÈniques qui engendrent des #effetssecondaires massifs ! ProtÈgeons-les !MERCI DE PARTAGER LES CONNAISSANCES SUR CES POISONS !!#Gardasil #cancer #jeunesse#santÈ du #business d'abord ! ??""#crime #gÈnocide #justice #Nuremberg2",1
37,98,"Podcast CSI n∞99:""Gardasil, on fait le point.Surya Arby, Philippe de Cazournes, HÈlËne Banoun et Louis FouchÈpodcasters.spotify.com/pod/sÖ""#gardasil #junkscience #conflitsinteret #toxicitÈ #inefficacitÈ",1
38,100,"Le #Gardasil protËge-t-il des cancers du col de l'utÈrus (#Papilionaires #papillomavirus)?""""crowdbunker.com/v/Tv5bug6S",2
39,101,"Vaxx anti-covid 19 :Effets secondaires graves""11vaccins obligatoires pour Les nourrissons  Effets secondaires graves causÈs par les adjuvants#Gardasil provoque des dÈcËs et effets secondaires""Plainte pour crimes contre l'humanitÈ dÈposÈe ‡ la Cour PÈnale internationale",4
40,106,#Gardasil #GARDASIL poiZon. …coutons la parole des victimes et soutenons les,1
41,109,"Le  #Gardasil est aussi fabriquÈ par Sanofi Pasteur"" ""Bh Serge Weinberg, prÈsident du conseil d'administration de Sanofi níest autre que l homme qui l'a  fait entrer le jeune Emmanuel Macron ‡ la Banque Rothschild, o˘ il Ètait administrateur.",2
42,110,"elles sont faites et publiÈes sur notre site mais contredisent les vÙtres ! On attend votre """"""""littÈrature scientifique"""""""" dÈmontrant l'efficacitÈ et innocuitÈ du #GARDASIL dont vous faÓtes la promotion !""""Les parents en procËs ‡ l'Ètranger et en France sont curieux Ègalement !",2
43,114,ProcËs en cours aux ???? avec #Merck #Gardasil !,2
44,116,Macron veut vacciner les Enfants des FranÁais contre le papillomavirus #Gardasil et ne croyez pas qu'ils ne sont pas au courant des effets secondaires: certain pays ont dÈj‡ le recul sur ce traitement. Et c'est une catastrophe.  Ils savent. Ce sont des criminels #Crimes #children,4
45,117,"@raoult_didier a eu le mÈrite de promouvoir un traitement prÈcoce. Toutefois, il est  le premier ‡ vouloir ´†punir†ª les rÈticents aux vaccins, que lui prÈconise, comme le #gardasil. Il fait partie du sÈrail scientiste, Cíest 1 loup attaquÈ par des hyËnes piped.video/zAampntyD6k",1
46,119,Danger pour les ados ‡ la rentrÈe 2023! Le gouvernement pousse ‡ la vaccination contre le #papillomavirus (#Gardasil) vaccin dangereux et inefficace qui favorise de nouveaux virus pgibertie.com/2023/07/13/danÖ via @GibertiePatrice,3
47,121,"Jíai envie de dire : le mal est fait: 80% de franÁais:†ª tous vaccinÈs , tous pas protÈgÈs†ª, que #pfizer fasse un vaccin qui ne vaccine pas car il nía jamais ÈtÈ testÈ sur la transmission,Áa ne vous choque pas?JíespËre que vous parlerez du #gardasil que #macron vend aux enfants",1
48,122,"Une experte mondialement reconnue par #BigPharma parle du #Gardasil #Merck #peur #manipulation sur l'infime... ! ""Bravo ! ??Et les #effetssecondaires graves, LCP n'en parle pas !?! ??? #crime #gÈnocide #cancer #mensonge #enfant#Macron #destitution""#justice #Nuremberg2 ! ???",1
49,123,Attention au #Gardasil,0
50,125,ProtÈgeons nos enfants #gardasil = poison ??,1
51,127,"Macron vient de dÈclarer des contre-vÈritÈs flagrantes dans un collËge. Comment ses conseillers peuvent-ils le tromper ‡ ce point et lui cacher les rÈsultats inquiÈtants de cette vaccination ?""#Gardasil #HPV #papillomavirus #vaccins #Merck ""reseauinternational.net/le-gÖ",2
52,128,"Big pharma a rÈussi ‡ ce que des parents vaccinent leurs garÁons au #gardasil pour Èviter un cancer du col de líutÈrus, alors quíils níont pas de vaginÖAh oui! Ils risquent un cancer de líanus et ce sont bien fait enculer, Áa cíest s˚r ! ??",2
53,131,"#soutien ‡ toutes les #victimes de #Gardasil """"#Protegeonsnosenfants",1
54,133,"merci d'Ètayer votre argument et fournir votre identitÈ !""""La publicitÈ du #GARDASIL est interdite !",1
55,136,"Danger pour les ados ‡ la rentrÈe 2023 ! ""Le gouvernement pousse ‡ la vaccination contre le #papillomavirus (#Gardasil), vaccin dangereux et inefficace qui favorise de nouveaux†virus Ö""pgibertie.com/2023/07/13/danÖ",3
56,138,"Qui mettra en Garde contre les 11 vaccins obligatoires pour les nourrissons (Loi AgnËs Buzyn) :Effets secondaires graves causÈs par les adjuvants""Contre le #Gardasil :DÈcËset effets secondaires graves""ArrÍt immÈdiat par Certains pays",4
57,139,#Gardasil poiZon si vous tenez ‡ la santÈ de vos enfants rÈflÈchissez bien avant de prendre une dÈcision qui pourrait leur Ítre fatale,1
58,141,Puis surtout avec les procËs en cours aux USA notamment sur le #Gardasil ... «a pose aucun problËme ??,4
59,142,"C'est exactement l'objectif de #Macron qui a fait euthanasier les seniors en #EHPAD au #Rivotril, qui veut piquer nos enfants au #Gardasil pendant que des personnes en attente de soins dÈcËdent sur des brancards en attente aux urgences, faute de personnels #suspendus pour les prendre en charge.""Quand un animal a des plumes de canard, un bec de canard, des ailes de canard  on dit que c'est un canard.""Cela fonctionne aussi pour un #assassin",1
60,145,Le #gardasil et tous  les vaccins sont toxiques,2
61,146,On va tous mourrrrriiiiiiiiiiiiiiiiiiiiiiiiiir ! A moins de vous faire vacciner pour 450Ä de shoots et engraisser Big Pharma. Vive le #Gardasil. Merci au Monde pour sa pub gratuite.,2
62,148,"Cíest vrai, mais timorÈ quand mÍme, ‡ líEurope ce níest pas @ManonAubryFr quíon entend se bagarrer contre #Pfizer . Or cíest la mËre des batailles. Un jeune va chez le mÈdecin, il a affaire ‡ un vrp des labos qui essaye de lui fourguer le #gardasil Ö et ce níest que le dÈbut.",1
63,149,Ni les garÁons ni les filles #Gardasil #GARDASIL poiZon,0
64,151,"Les vaccins COVID-19 encore plus dangereux""Les 11 vaccins obligatoires pour les nourrissons (Loi AgnËs Buzyn) effets secondaires graves causÈs par les adjuvants#Gardasil dÈcËs et effets secondaires graves""RaphaÎl Cohen a dÈposÈ une plainte pour crimes contre l'humanitÈ ‡ la CPI",4
65,155,"Sur le Gardasil ! Emission d'intÈrÍt publique ! A regarder et diffuser largement. ProtÈgez vos enfants.""""#gardasil #toxicitÈ #junkscience #inefficacitÈ #conflitsinteret",2
66,156,"Attention ñ  Ne pas vacciner votre fille avant díavoir vu cette enquÍte de France 5. La rÈalitÈ derriËre les campagnes planÈtaires pour faire peur et convaincre quíon va ´Èviter un cancerª par ce vaccin.""#bigpharma #corruption #Gardasil #Merck #vaccins ""reseauinternational.net/gardÖ",2
67,159,"Un tribunal de Caroline du Nord ordonne ‡ #Merck de remettre aux plaignants toutes ses donnÈes sur les effets indÈsirables du #Gardasil (dÈcision du 20 mars 2023). Il serait bon de les analyser avant d'injecter en masse. """"childrenshealthdefense.org/dÖ",0
68,164,"Directeurs d'Ètablissements scolaires, infirmiers, infirmiËres scolaires, nous vous recommandons cet ouvrage de @NicoleDelepine avant de vous rendre complices !""""#Gardasil #HPV #EffetsSecondaires",1
69,166,#poison #gardasil Ö infanticides en cours ! StÈrilisations in progress handicaps ‡ gogo et dÈcËs rapides ! Les parents ? Vous vous rÈveillez ? @AssociationPEC @ALnpvl,1
70,170,Ni les garÁons ni les filles #Gardasil #GARDASIL poiZon,0
71,172,"Penchez vous Ègalement sur la maniËre dont Xavier Bertrand dÈcidait seul, sans attendre l'avis de l'HAS ou du CTV, du remboursement de mÈdicaments ou de vaccins, quand il Ètait ministre de la santÈ de Sarkozy...""""#Gardasil #Mediator",1
72,173,depeches-citoyennes.fr/2023/Ö @aimsib @UnionMarche @MARTIGNONCHRIS1 @den_pero @LangNevine @AssociationPEC #parents #gardasil #papillomavirus #vÈritÈ @ALnpvl,1
73,179,"#Gardasil RÈflÈchissez, cherchez. Vous n'avez pas le droit d'avoir la flemme, pour vos enfants....",1
74,180,"Covid 19 effets secondaires graves""11vaccins obligatoires pour les nourrissons Effets secondaires graves causÈs par les adjuvants""#Gardasil provoque des effets secondaires.",4
75,182,"CSI n∞99 : Surya Arby 13/04/2023 vaccins anti HPV, synthËse des donnÈes mises ‡ jour""vaccins anti HPV ( #Gardasil ) ""crowdbunker.com/v/2Czfyu1J",0
76,183,"Cíest díautant plus suspect : pourquoi níen a tíelle pas parlÈ en mÍme temps que Martine #wonner?Dire une vÈritÈ deux ans aprËs les sonneurs díalerte, cíest long. Son combat est de protÈger les enfants : a t elle dit une seule fois de ne pas vacciner les enfants au #gardasil?",1
77,184,"Ils Savaient !!  que les"""""""" vaccins """"""""faisaient du mal aux gens, mais n'ont rien dit....""Pour les 11 vaccins obligatoires pour les nourrissons (Loi AgnËs Buzyn) provoquent des effets secondaires graves causÈs par les adjuvants""Le #Gardasil provoque des dÈcËs et effets secondaires..",4
78,188,"Danger pour les ados ‡ la rentrÈe 2023! Le gouvernement pousse ‡ la vaccination contre le #papillomavirus (#Gardasil) vaccin dangereux et inefficace qui favorise de nouveaux virus pgibertie.com/2023/07/13/danÖ via @GibertiePatrice "" ""Retweeter massivement, merci.",3
79,192,"Le #CrimineldEtat #Macron fait dÈsormais tirer sur les #enfants aprËs avoir voulu les piquer au #Gardasil""@amnestyfrance @washingtonpost @tdgch @NYTupdates ""@UPR_Asselineau",1
80,197,Danger pour les ados ‡ la rentrÈe 2023! Le gouvernement pousse ‡ la vaccination contre le #papillomavirus (#Gardasil) vaccin dangereux et inefficace qui favorise de nouveaux virus | LE BLOG DE PATRICE GIBERTIE pgibertie.com/2023/07/13/danÖ,3
81,198,"????????????""Un condensÈ de la doxa !#Gardasil #LGBTQ #Vaccin ""Et tout Áa au nom du bien !",2
82,200,"Pareil que pendant la pandÈmie, mÍme dilemme ‡ prÈvoir : injectÈ ou ÈjectÈ ?"" ""#Vaccin #Gardasil",1
83,202,"#Gardasil ""Le tribunal ordonne ‡ Merck de remettre les bases de donnÈes d'ÈvÈnements indÈsirables Gardasil Un tribunal de district de Caroline du Nord a ordonnÈ au gÈant pharmaceutique Merck de remettre toutes ses bases de donnÈes d'ÈvÈnements indÈsirables Gardasil aux plaignants poursuivant le gÈant pharmaceutique pour des blessures prÈtendument causÈes par le vaccin contre le VPH. [...] Les bases de donnÈes, qui comprennent des informations provenant du systËme de notification et d'examen des ÈvÈnements indÈsirables de Merck (MARRS) - la version de Merck du systËme de notification des ÈvÈnements indÈsirables liÈs aux vaccins ( VAERS ) - devraient contenir tous les rapports relatifs aux ÈvÈnements indÈsirables du Gardasil soumis par les mÈdecins, les patients et les publications. , a dÈclarÈ l'avocat des plaignants Michael Baum ‡ The Defender . ""#Merck a jusqu'‡ prÈsent refusÈ de mettre l'intÈgralitÈ des bases de donnÈes MARRS ‡ la disposition des avocats des plaignants."""""""""" ""childrenshealthdefense.org/dÖ",0
84,207,"Super ??""A l'occasion @le_Parisien vous mentionnerez les nombreux procËs en cours aux USA concernant le #Gardasil, notamment pour les effets secondaires qui n'existent pas mais qui pourtant ont des consÈquences lÈtales.... ??#GardasilGate""#VaccinesSideEffects ....",4
85,212,"La meilleure explication du neuneu @LMucchielli. Cascade sans trucage, c'est un vrai schÈma pour expliquer le vaccin Covid.  De plus, il est un vrai expert de PMU, il frÈquente les spaces de @Resistance_SM,  ca vraie place. Alors son avis,c'est de la ??  """"#antivax #Gardasil",1
86,222,"odysee.com/@zhusimaji.vog:d/Ö""""#macron en train de promouvoir ce vaccin #gardasil aux enfants. Il est important de regarder cette vidÈo avant de prendre la dÈcision gettr.com/post/p2e7mza11c8",2
87,225,"Et s'il parlait du #Gardasil ?? Pour rappel, il prÈconise la vaccination des ados...",3
88,226,Alerte de la Ligue Nationale pour la Libert... pangolinsetmantilles.info/20Ö #CANCERDEL'UT…RUS #R…INFOCOVID #CONTR‘LESOCIAL #GARDASIL #RobertKENEDYJr #LIGUENATIONALEPOURLALIBERT…DESVACCINATIONS #NON¿LAVACCINATIONCONTRELEPAPILLOMAVIRUS #PAPILLOMAVIRUS,0
89,227,"On parle de la secrÈtaire d'Ètat BÈrangËre #Couillard qui travaille pour le compte d'un #assassin #cocaÔnomane qui a euthanasiÈ nos aÓnÈs au #Rivotril, qui planifie de piquer nos gosses au #Gardasil, qui fait radier les mÈdecins qui soignent, interdire les mÈdicaments qui guÈrissent et suspendre sans salaire ni droits sociaux les soignants refusant de mourir par injection lÈtale au contenu gardÈ secret dÈfonse sans AMM aprËs les avoir fait travailler habillÈs avec des sacs poubelles, le tout coordonnÈ par des #FDO transformÈes pour le confort de sa cause en #PolicePolitique et vous voulez nous donnez des leÁons de civisme en insultant #JMLP @lepenjm ?""""Que le cul vous gratte et les bras vous soient trop courts.",1
90,232,"Vaxx Covid effets secondaires graves""11vaccins obligatoires pour les nourrissons Effets secondaires graves dus aux adjuvants#Gardasil provoque des dÈcËs et effets secondaires graves""Plainte dÈposÈe par RaphaÎl Cohen et la CSAPE auprËs del‡ CPI pour crimes contre l'humanitÈ",4
91,233,"#EducationNationale outil politique de propagande et de formatage de nos enfants.""Sujet plus que jamais d'actualitÈ avec la dÈtermination des hostilitÈs de #Macron et de ses mercenaires.""Pour le cas ou le #Gardasil ne suffirait pas ‡ ses ambitions dolosives.",1
92,235,#impact de #Vaccin #Gardasil sur les verrues keatonrosiere.com/impact-de-Ö,0
93,239,"Le cardiologue d'origine indienne basÈe au Royaume-Uni Asseem Malhotra met en Garde contre le... ""11 vaccins obligatoires pour les nourrissons Effets secondaires causÈs par les adjuvants Pas de mise en garde""#Gardasil cause de DÈcËs et effets secondaires graves tjs injectÈs",4
94,243,Le #gardasil est il un ´†vaccin†ª ‡ arn?,0
95,244,Et sinon la promotion des vaccins expÈrimentaux on en est o˘ ?? #gardasil #CovidVaccines,2
96,245,"La mafia sarkozyste qui accourt au secours de la droite macroniste... #LR """"Est-ce qu'un jour Bertrand va apporter une explication sur le fait qu'il a dÈcidÈ seul, sans attendre l'avis de l'HAS et CTV, du remboursement du #Gardasil par la SS, quand il Ètait ministre de la SantÈ ?",1
97,247,"Inutiles, inefficaces, voire dangereux. ""Les #vaccins anti #HPV : une nouvelle offensive politico-industrielle dÈnuÈe de fondement scientifiquepar ?@MdeLorgeril? ?@LMucchielli? ""#papillomavirus #Gardasil  qg.media/blog/laurent-mucchiÖ",3
98,260,"Les guignols avaient une sacrÈ avance sur le monde d'aujourd'hui""Vaccinez vous ??#gardasil ""#VaccineSideEffects",0
99,261,"Les 11 vaccins obligatoires pour les nourrissons causent de graves effets secondaires graves provoquÈs par les adjuvants""#Gardasil provoque des dÈcËs et effets secondaires graves""ArrÍt immÈdiat de Toutes ces injections",4
100,262,"Rappel : loi AgnËs Buzyn""11 vaccins obligatoires pour les nourrissons Ils provoquent des effets secondaires graves causÈs par les adjuvants""#Gardasil provoque des dÈcËs et effets secondaires graves Certains pays ArrÍt immÈdiat de cette injection",4
101,263,"Obligation vaccinale ‡ abolir pour :""Les 11 vaccins obligatoires pour les nourrissons (Loi AgnËs Buzyn) provoquent des effets secondaires graves causÈs par les adjuvants""#Gardasil provoque des dÈcËs et effets secondaires graves Certains pays l'ont arrÍtÈ immÈdiatement",4
102,271,"@NicoleDelepine""""Vaccin #Gardasil = DANGER-1 CancÈrologue DÈnonce piped.video/N7jKp26YGDI  attention  risque d'obligation contradictoire avec l'effet paradoxal avec?? du taux de k chez les populations largement vaccinÈes et apparition plus rapide dans les annÈes qui suivent vaccin",1
103,273,"Mensonges et consÈquences de ces """"""""vaccinations"""""""" qui visent ‡ dÈtruire notre #immunitÈ afin de nous rendre dÈpendants d'une #mÈdecine ‡ vocation non plus de #soins mais de #contrÙle totalitaire. "" #gardasil (Article sourcÈ mais censurÈ fb, donc ‡ diffuser)""francesoir.fr/opinions-tribuÖ",1
104,275,"Le fluor Poison:""Les 11 vaccins obligatoires pour les nourrissons (Loi AgnËs Buzyn) provoquent des effets secondaires graves et des dÈcËs causÈs par les adjuvants#Gardasil provoque des dÈcËs et effets secondaires gravesCertains pays les ont interdits""ImmÈdiatement",4
105,276,"¿ lire absolument ! #Vaccin #HPV #gardasil : Monsieur Macron, votre dÈcision est HONTEUSE !Xavier Bazin !  xavier-bazin.fr/vaccin-hpv-mÖ",2
106,277,"#Gardasil Èpisode 6 : Aucune preuve quíil prÈvienne le #cancer du #coldelutÈrus, au contraire ""#Vaccination #Vaccin""aimsib.org/2023/03/12/gardasÖ",1
107,282,"Je ne comprendrais pas que les FranÁais continuent ‡ faire confiance ‡ leurs politiques aprËs tout ce qu'il s'est passÈ, surtout  depuis 2020. #Mascarade #Covid #Confinement #Injection #DecretRivotril #Gardasil #LBD #ViolencesPolicieres #GuerreEnUkraine #ReformeDesRetraites",1
108,283,"Non! Raoult ne sera pas canonisÈ, pas aprËs les mots graves qu'il a profÈrÈ en faveur la crÈation d'un MinistËre de la VÈritÈ"""""""", ni aprËs ses prises de positions sur le trËs controversÈ #Gardasil.""""Raoult dÈcline quand il suit le gouvernement.",2
109,286,Le haut comitÈ de la santÈ publique #HCSP doit rapidement rÈunir une commission pour Ètablir líefficacitÈ et líintÈrÍt co˚t-bÈnÈfice díune injection de rappel avec le vaccin protÈgeant contre 9 HPV chez les femmes qui ont reÁu depuis 2007 le #gardasil 4.,0
110,288,"#Gardasil Èpisode 2 : ´ De #Vioxx ‡ Gardasil, comment faire confiance ‡ #Merck ? ª""#Papillomavirus""aimsib.org/2023/02/12/gardasÖ",2
111,294,"Pas la peine de jouer les GÈnÈral de Gaulle, toutes les choses intelligentes que vous avez pu dire pendant le covid sont purement et simplement annulÈes par votre position sur le #Gardasil et sur le """"""""MinistËre de la VÈritÈ"""""""" que vous prÈconisez. C'est impardonnable.",1
112,308,"Vaxx anti-covid 19 effets secondaires graves""Les 11 vaccins obligatoires pour les nourrissons Effets secondaires graves causÈs par les adjuvants#Gardasil provoque des dÈcËs et effets secondaires graves""Plainte pour crimes contre l'humanitÈ dÈposÈe ‡ la Cour PÈnale internationale",4
113,313,"RÈ-Ècouter Claire SÈverac chez #Tepa plus de 10 ans aprËs nous parler #Gardasil, campagne de #vaccination du H1N1, BigPharma... nous Ètions prÈvenus ????? piped.video/iW4-dGn_NdQ via @YouTube",1
114,314,Elle avait ÈtÈ en lien avec @MicheleRivasi sur le #gardasil. Des annÈes aprËs toujours rien et elle n'est plus.  tre lanceur d'alerte est malheureusement et injustement dangereux,1
115,324,"""""Les donnÈes disponibles ‡ ce jour ne permettent pas de rÈpondre aux interrogations concernant líefficacitÈ en termes de prÈvention des #cancers, comme pour les #vaccins #Gardasil et #CERVARIX.""""""""",3
116,329,"Qui a dit que la #recherche co˚tait cher?""""@Dr_Steph_GAYET #papillomavirus #GARDASIL #graphene",1
117,332,Est ce que le #gardasil provoque l'endomÈtriose ? Je me pose cette question car je connais deux femmes qui ont de l'endomÈtriose curieusement dÈclenchÈ  suite ‡ ce vaccin coÔncidence ??,2
118,337,"Ne vaccinez ni filles ni garÁons par Gardasil:un vaccin dangereux et inefficace contre le cancer""""Le Conseil indien de la recherche mÈdicale a exigÈ l'arrÍt immÈdiat du #Gardasil aprËs le dÈcËs de 7 jeunes filles et au moins 120 effets secondaires indÈsirables",4
119,340,"""""IL NíEXISTE AUCUNE PREUVE DíEFFICACITE #ANTICANCER DU #Gardasil. PrÈtendre le contraire, comme le fait líAFP Factuel, est mensonger.""""""""",1
120,344,"""""#Gardasil : 10 #mensonges.""""""""""""francesoir.fr/opinions-tribuÖ",1
121,345,Comme pour le #Gardasil et Cervirix reaction19.fr/droit-de-penseÖ,3
122,347,"Les injections des 11 vax obligatoires pour les nourrissons (Loi AgnËs Buzyn) causent des effets secondaires graves effets secondaires causÈs par les adjuvants""""Le #Gardasil provoque des dÈcËs et effets secondaires graves Des pays l'ont interdit",4
123,352,"#Gardasil, vos #enfants comme du bÈtail""#Papillomavirus""aimsib.org/2022/12/18/gardasÖ",3
124,353,"ArrÍtons ces #injection """"#papillomavirus #gardasil",0
125,356,"1. Ohhh ouin ouin ouin ??"" 2. Les #mineurs cíest ‡ partir de quel ‚ge ?  3. #Gardasil Non ! Et plus #ARNm No ! Commencez dÈj‡ par faire un #enfant avant de vouloir tout rÈgenter dans les #familles díautrui et vous substituer aux #parents. ""Rahhhhhhh ! ??????",1
126,357,???????? dÈj‡ le vaccin contre le papillomavirus couvre peu de souches et en plus il est pas safe #Gardasil #SEP #ARNm,1
127,360,"Abomination?"" Un vaccin pourri qu'ils veulent rendre obligatoire??  Par bienveillance??Et pour la scieeeeaaaaoooonce?? #SauvonsLesJeunes??#Pfizer #COVID19 #vaccins #EffetsSecondairesvaccins19 #gardasil #Cancer #spike #HPVvax#papillomavirus""#JusticePourLesSuspendus",0
128,366,"#Gardasil """"""""Enfin les chiffres publiÈs ne concernent que la baisse du nombre d'HPV il y a 150 souches et les  vaccins n'en comportent que 4 ‡ 9",3
129,369,"Pourtant la question Ètait dÈj‡ posÈe avec le #Gardasil et il avait dÈj‡ perdu son examen de passage ‡ mes yeux, ceci bien avant les actuels #dealers #Pfizer",2
130,370,aimsib.org/2022/12/18/gardasÖ #gardasil vos enfants comme du bÈtail,3
131,372,Ne le faites pas il y a eu des effets secondaires grave avec ce vaccin le #gardasil !,4
132,373,"VaccinÈe en 2009-2010, maladie auto immune crohn en 2012-2013 ?? jíose mÍme pas me demander si il y a un lien je risque de devenir folle. Je ne me vaccinerai plus jamais, heureusement que je níai pas fait celui du Covid .. #gardasil",1
